"Slug","Title","Categories","Image","Image:alt","Description","Host","Host:alt","Name","Position","Content"
"podcast-lnh-properties2","Understanding VAT in the Emirates: Essential guide by Daftime","podcast","https://framerusercontent.com/images/sWGeTE9vvAHg642kbCSDQyDRQ.jpg","","In this video, we explain in simple terms the basics of VAT in the Emirates, covering the applicable rates and key points to be aware of for any entrepreneur operating in the region. We simplify the important elements so that everyone can understand VAT obligations and responsibilities. However, for specific or complex situations, we recommend consulting a professional for tailor-made assistance.","https://framerusercontent.com/images/rwQRIfDnazuvQCOddnVwHWZrO4.jpeg","","Sami Sehrine","Accountant and Co-founder of Daftime","<iframe src=""https://www.youtube.com/embed/LmcxuXstRwE?iv_load_policy=3&amp;rel=0&amp;modestbranding=1&amp;playsinline=1&amp;autoplay=1&amp;mute=1"" data-thumbnail=""Medium Quality"" frameborder=""0"" allow=""presentation; fullscreen; accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture""></iframe>"
"creer-un-ecosysteme-de-professionnels","Create a Professional Ecosystem! ","podcast","https://framerusercontent.com/images/sWGeTE9vvAHg642kbCSDQyDRQ.jpg","","In this podcast, I share my experience and tips on building a strong and collaborative professional ecosystem. Discover how to develop strategic partnerships and build a dynamic network to boost your business, in partnership with LNH Properties!","https://framerusercontent.com/images/j1qsnqsayZTvrdv8dPz1t47E0OE.jpeg","","Sami Sehrine","Accountant and Co-founder of Daftime","<iframe src=""https://www.youtube.com/embed/6Op5LMLYBxU?iv_load_policy=3&amp;rel=0&amp;modestbranding=1&amp;playsinline=1&amp;autoplay=0&amp;mute=1"" data-thumbnail=""Medium Quality"" frameborder=""0"" allow=""presentation; fullscreen; accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture""></iframe>"
"comprendre-la-vat-aux-emirats-guide-essentiel-par-daftime","Understanding VAT in the UAE: Essential Guide by Daftime","podcast","https://framerusercontent.com/images/sWGeTE9vvAHg642kbCSDQyDRQ.jpg","","In this video, we simplify the basics of VAT in the UAE, covering applicable rates and key points that every entrepreneur in the region should know. Our goal is to break down important elements, making it easier for everyone to understand their VAT obligations and responsibilities. However, for specific or complex situations, we recommend consulting a professional for personalized support.","https://framerusercontent.com/images/SrPxY1awpBISPlP2yp3hC7LdYI4.jpeg","","Sami Sehrine","Accountant and Co-founder of Daftime","<iframe src=""https://www.youtube.com/embed/LmcxuXstRwE?iv_load_policy=3&amp;rel=0&amp;modestbranding=1&amp;playsinline=1&amp;autoplay=0&amp;mute=1"" data-thumbnail=""Medium Quality"" frameborder=""0"" allow=""presentation; fullscreen; accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture""></iframe>"
"5661","Can I deduct my car and personal expenses from the Corporate Tax?","podcast","https://framerusercontent.com/images/sWGeTE9vvAHg642kbCSDQyDRQ.jpg","","Watching this video, you’ll discover that starting a business in the UAE can be an exciting adventure, but it requires careful preparation. Here are some key considerations to keep in mind and my top advice!","https://framerusercontent.com/images/3ucOsUktbiYAzRAuaKZ8YOtE.jpeg","","Sami Sehrine","Accountant and Co-founder of Daftime","<iframe src=""https://www.youtube.com/embed/d9iPQWKTT1U?iv_load_policy=3&amp;rel=0&amp;modestbranding=1&amp;playsinline=1&amp;autoplay=0&amp;mute=1"" data-thumbnail=""Medium Quality"" frameborder=""0"" allow=""presentation; fullscreen; accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture""></iframe>"
"can-i-deduct-my-salary-under-corporate-tax","Can I Deduct My Salary Under Corporate Tax?","podcast","https://framerusercontent.com/images/sWGeTE9vvAHg642kbCSDQyDRQ.jpg","","In this video, find out quickly and in simple terms whether you can deduct your salary under the Corporate Tax in the United Arab Emirates. We explain the conditions and criteria that must be met for the salary to qualify as a deductible expense. You’ll also understand the impact of this deduction on your tax obligations.","https://framerusercontent.com/images/QlbGhrX6ZdKcL5qjDO173orx1CE.jpeg","","Sami Sehrine","Accountant and Co-founder of Daftime","<iframe src=""https://www.youtube.com/embed/EXwPvalD2eA?iv_load_policy=3&amp;rel=0&amp;modestbranding=1&amp;playsinline=1&amp;autoplay=0&amp;mute=1"" data-thumbnail=""Medium Quality"" frameborder=""0"" allow=""presentation; fullscreen; accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture""></iframe>"
"freezone-with-0-tax","Freezone with 0% Tax?","podcast","https://framerusercontent.com/images/sWGeTE9vvAHg642kbCSDQyDRQ.jpg","","In this video, we quickly demystify the concept of a 0% tax Freezone. What does 'Qualifying Free Zone Person' (QFZP) mean? What criteria must be met to benefit from it? Discover how certain Freezone companies can be exempt from taxes while meeting specific conditions.","https://framerusercontent.com/images/alMyYfdchxfXw2uBTJtFTBuSg5Y.jpeg","","Sami Sehrine","Accountant and Co-founder of Daftime","<iframe src=""https://www.youtube.com/embed/-jU6tTSnpuI?iv_load_policy=3&amp;rel=0&amp;modestbranding=1&amp;playsinline=1&amp;autoplay=1&amp;mute=1"" data-thumbnail=""Medium Quality"" frameborder=""0"" allow=""presentation; fullscreen; accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture""></iframe>"
"a-surtax-on-certain-products-in-dubai-the-well-known-excise-tax","A surtax on certain products in Dubai? The well-known excise tax","podcast","https://framerusercontent.com/images/sWGeTE9vvAHg642kbCSDQyDRQ.jpg","","Watching this video, you’ll discover that starting a business in the UAE can be an exciting adventure, but it requires careful preparation. Here are some key considerations to keep in mind and my top advice!","https://framerusercontent.com/images/v84U0vKxy4bBc2Jm9K9buCUFtcY.jpeg","","Sami Sehrine","Accountant and Co-founder of Daftime","<iframe src=""https://www.youtube.com/embed/aFNm5M8tQME?iv_load_policy=3&amp;rel=0&amp;modestbranding=1&amp;playsinline=1&amp;autoplay=1&amp;mute=1"" data-thumbnail=""Medium Quality"" frameborder=""0"" allow=""presentation; fullscreen; accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture""></iframe>"
"is-it-complicated-to-close-my-company-in-the-uae","Is it complicated to close my company in the UAE?","podcast","https://framerusercontent.com/images/sWGeTE9vvAHg642kbCSDQyDRQ.jpg","","In this video, we explain the process of closing a company in the UAE in a simple and quick way. What are the steps to follow? What administrative formalities are involved? Is it really complicated, or easier than you might think? Discover everything you need to know to wind up your business in the UAE without stress.","https://framerusercontent.com/images/RqvQbaT712TdvMcgW9gIB5NjoE.jpg","","Justine Basilio Amid "," Tax and Business Lawyer ","<iframe src=""https://www.youtube.com/embed/tprTqfHq2Ys?iv_load_policy=3&amp;rel=0&amp;modestbranding=1&amp;playsinline=1&amp;autoplay=1&amp;mute=1"" data-thumbnail=""Medium Quality"" frameborder=""0"" allow=""presentation; fullscreen; accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture""></iframe>"
"avoid-paying-corporate-tax-in-the-uae","Avoid Paying Corporate Tax in the UAE!","podcast","https://framerusercontent.com/images/sWGeTE9vvAHg642kbCSDQyDRQ.jpg","","In this video, we reveal how the Small Business Relief (SBR) can exempt you from paying taxes if your turnover is below 3 million AED. What are the criteria to qualify? What benefits can this bring to your business? Stay tuned to learn everything about this tax opportunity in the UAE!","https://framerusercontent.com/images/hIjlP4usDFYcuQUzHekkcHGYqo.jpeg","","Sami Sehrine","Accountant and Co-founder of Daftime","<iframe src=""https://www.youtube.com/embed/0J8QarzPXEk?iv_load_policy=3&amp;rel=0&amp;modestbranding=1&amp;playsinline=1&amp;autoplay=0&amp;mute=1"" data-thumbnail=""Medium Quality"" frameborder=""0"" allow=""presentation; fullscreen; accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture""></iframe>"
"my-expert-accountant-advice-for-starting-a-business-in-the-uae-key-points-and-recommendations","My Expert Accountant Advice for Starting a Business in the UAE - Key Points and Recommendations!","podcast","https://framerusercontent.com/images/sWGeTE9vvAHg642kbCSDQyDRQ.jpg","","Watching this video, you’ll discover that starting a business in the UAE can be an exciting adventure, but it requires careful preparation. Here are some key considerations to keep in mind and my top advice!","https://framerusercontent.com/images/y0NMu8UXlK3f0D0qBgsV2LiE2k.jpeg","","Sami Sehrine","Accountant and Co-founder of Daftime","<iframe src=""https://www.youtube.com/embed/bGILFpW8Y7Y?iv_load_policy=3&amp;rel=0&amp;modestbranding=1&amp;playsinline=1&amp;autoplay=1&amp;mute=1"" data-thumbnail=""Medium Quality"" frameborder=""0"" allow=""presentation; fullscreen; accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture""></iframe>"
